Class,CountClassDerived,CountClassCoupled,CountDeclClassVariable,SumCyclomatic,CountDeclClass,CountDeclInstanceVariablePublic,CountDeclClassMethod,AvgCyclomatic
org.apache.commons.net.tftp.TFTPServer.ServerMode,0,1,0,0,0,0,0,0
org.apache.commons.net.tftp.TFTPServer.TFTPTransfer,0,28,0,59,0,0,0,7
org.apache.commons.net.tftp.TFTPServerMain,0,9,1,8,0,0,1,8
org.apache.commons.net.tftp.TFTPServerMain.main.(Anon_1),0,7,0,10,0,0,0,5
org.apache.commons.net.tftp.TFTPServerMain.main.(Anon_1).newTFTP.(Anon_2),0,3,0,1,0,0,0,1
org.apache.commons.net.tftp.TFTPServerMain.main.(Anon_3),0,2,0,1,0,0,0,1
org.apache.commons.net.tftp.TFTPServerPathTest,0,10,1,6,0,0,0,2
org.apache.commons.net.tftp.TFTPTest,0,16,6,26,0,0,1,2
org.apache.commons.net.time.TimeTCPClientTest,0,8,0,9,0,0,0,2
org.apache.commons.net.time.TimeTestSimpleServer,0,6,2,20,0,0,1,2
org.apache.commons.net.util.Base64Test,0,5,0,30,0,0,0,1
java.io.CharArrayReader,0,0,0,0,0,0,0,0
java.io.CharArrayWriter,0,0,0,0,0,0,0,0
org.apache.commons.net.util.UtilTest,0,15,0,9,0,0,0,1
org.apache.commons.net.util.UtilTest.CSL,0,3,0,3,0,0,0,1
org.apache.commons.net.util.UtilTest.CSLtotal,0,3,0,4,0,0,0,1
