Metric,Ver1,Ver2
Total Classes,393,398
Total Interfaces,17,17
Classes Added,6,
Classes Deleted,1,
Interfaces Added,0,
Interfaces Deleted,0,
Changes in CountClassDerived,97,97
Changes in CountClassCoupled,1663,1691
Changes in CountDeclClassVariable,710,748
Changes in SumCyclomatic,3844,3891
Changes in CountDeclClass,0,0
Changes in CountDeclInstanceVariablePublic,0,0
Changes in CountDeclClassMethod,153,155
Changes in AvgCyclomatic,617,622
